ACUSPHERE INC,1115143,2834
ACXIOM CORP,0733269,7374
ADA-ES INC,1223112,2890
AdAl Group Inc.,0810370,9995
ADAM INC,0863650,7372
ADAMS GOLF INC,1059763,3949
ADAMS RESOURCES  ENERGY  INC.,0002178,5172
Adams Respiratory Therapeutics  Inc.,1319439,2834
ADAPTEC INC,0709804,3576
ADASTRA MINERALS INC,1050602,1000
ADC TELECOMMUNICATIONS INC,0061478,3661
ADDISON DAVIS DIAGNOSTICS,0932127,2834
ADDVANTAGE TECHNOLOGIES GROUP INC,0874292,5000
ADE CORP,0884498,3825
ADECCO SA,0931496,7363
ADELPHIA COMMUNICATIONS CORP,0796486,4841
ADEPT TECHNOLOGY INC,0865415,3559
ADERA MINES LTD,1281629,1040
ADESA INC,1281949,5010
ADEZA BIOMEDICAL CORP,0902482,3825
ADHEREX TECHNOLOGIES INC,1211583,2836
ADM TRONICS UNLIMITED INC/DE,0849401,2891
ADMINISTAFF INC \DE\,1000753,7363
ADMIRAL FINANCIAL CORP,0828530,6035
ADMIRALTY HOLDING CO,0085684,1000
ADOBE SYSTEMS INC,0796343,7372
ADOLOR CORP,1076167,2834
ADSERO CORP,1103544,3570
ADSOUTH PARTNERS  INC.,1158235,7310
ADSTAR INC,1091599,7372
ADTRAN INC,0926282,3661
ADUDDELL INDUSTRIES INC,0928373,1700
Advance America  Cash Advance Centers  Inc.,1299704,6141
ADVANCE AUTO PARTS INC,1158449,5531
ADVANCE DISPLAY TECHNOLOGIES INC,0770034,6794
Advance Nanotech  Inc.,0354699,6799
ADVANCE TECHNOLOGIES INC,1081944,6770
ADVANCED ACCESSORY HOLDINGS CORP,1276721,3714
ADVANCED BATTERY TECHNOLOGIES  INC.,0745651,3690
Advanced BioPhotonics Inc.,1096182,3829
ADVANCED BIOTHERAPY INC,0791833,8731
ADVANCED CELL TECHNOLOGY  INC.,1140098,2834
ADVANCED COMMUNICATIONS TECHNOLOGIES INC,1100820,7389
ADVANCED DIGITAL INFORMATION CORP,0770403,3572
ADVANCED ENERGY INDUSTRIES INC,0927003,3679
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,0849706,2430
ADVANCED ID CORP,1005356,3674
ADVANCED LIGHTING TECHNOLOGIES INC,1002125,3640
ADVANCED LUMITECH INC,0894537,2600
ADVANCED MAGNETICS INC,0792977,2835
ADVANCED MEDIA TRAINING INC,1250485,7812
